bs,seq,nh,nkv,hd,t_measured_ms
1,40392,32,4,64,48.16768178716302
1,40392,32,8,128,85.97974805161357
1,40392,64,2,128,171.2135341949761
1,40392,128,1,64,189.82213595882058
1,40392,128,4,64,189.7405688650906
1,40392,128,8,128,335.90785786509514
1,46594,16,8,64,32.20588620752096
1,46594,32,1,128,114.86217612400651
1,46594,32,8,128,114.87849615514278
1,46594,64,2,128,224.8215447179973
1,46594,128,1,64,252.38535273820162
1,46594,128,4,64,252.52733193337917
1,46594,128,8,64,252.55549233406782
1,49328,8,2,64,18.328833859413862
1,49328,8,4,64,18.46111798658967
1,49328,8,4,128,33.23574597015977
1,49328,16,1,128,65.02954894676805
1,49328,16,4,128,64.98753372579813
1,49328,32,2,64,71.30598230287433
1,49328,32,4,128,127.73820105940104
1,49328,64,2,64,141.80900994688272
1,49328,64,4,128,254.4035050086677
1,49328,128,2,64,282.0115671493113
1,49328,128,4,128,498.2898300513625
1,50639,8,4,128,34.3100200407207
1,50639,16,1,64,37.91875205934048
1,50639,16,2,128,68.32321593537927
1,50639,16,8,128,68.38254304602742
1,50639,32,2,128,134.45382239297032
1,50639,64,1,64,149.53029807657003
1,50639,64,4,64,149.61452037096024
1,50639,64,8,64,149.7852993197739
1,50639,128,1,128,527.1117151714861
1,50639,128,8,128,525.3932946361601
1,52118,32,2,64,79.62920563295484
1,52118,32,4,128,143.87674210593104
1,52118,64,2,64,158.63330801948905
1,52118,64,4,128,283.5897230543196
1,52118,128,2,64,314.868729095906
1,52118,128,4,128,559.6868130378425
1,57039,8,4,128,44.35875313356519
1,57039,16,1,64,48.3811111189425
1,57039,16,2,128,86.64527488872409
1,57039,16,8,128,86.59567590802908
1,57039,32,2,128,171.8359012156725
1,57039,64,1,64,189.41197777166963
1,57039,64,4,64,189.77357121184468
1,57039,64,8,64,189.77821106091142
1,57039,128,1,128,668.7175310216844
1,57039,128,8,128,665.8839611336589
1,62003,32,1,128,201.13482419401407
1,62003,32,8,64,112.61227913200855
1,62003,64,1,128,395.5467939376831
1,62003,64,8,128,396.66436705738306
1,62003,128,2,128,788.034281693399
1,65536,2,1,64,8.086919784545898
1,65536,2,1,128,14.855026733130217
1,65536,2,2,64,8.061160799115896
1,65536,2,2,128,14.74069431424141
1,65536,2,4,64,-1.0
1,65536,2,4,128,-1.0
1,65536,2,8,64,-1.0
1,65536,2,8,128,-1.0
1,65536,4,1,64,16.178607940673828
1,65536,4,1,128,29.66531878337264
1,65536,4,2,64,16.19179081171751
1,65536,4,2,128,29.644838999956846
1,65536,4,4,64,16.15310413762927
1,65536,4,4,128,29.681414365768433
1,65536,4,8,64,-1.0
1,65536,4,8,128,-1.0
1,65536,8,1,64,32.27756870910525
1,65536,8,1,128,58.61763330176473
1,65536,8,2,128,58.58486611396074
1,65536,8,8,128,58.63299313932657
1,65536,16,2,64,63.94821126013994
1,65536,16,4,64,63.52988537400961
1,65536,16,8,64,63.7191291898489
1,65536,32,1,128,223.19300891831517
1,65536,32,8,64,126.36011000722647
1,65536,64,1,128,444.3525052629411
1,65536,64,8,128,444.5212301798165
1,65536,128,2,128,885.1760611869395
1,65962,2,1,64,8.178964722901583
1,65962,2,1,128,14.829904772341251
1,65962,2,2,64,8.263539057224989
1,65962,2,2,128,14.984972309321165
1,65962,2,4,64,-1.0
1,65962,2,4,128,-1.0
1,65962,2,8,64,-1.0
1,65962,2,8,128,-1.0
1,65962,4,1,64,16.55050180852413
1,65962,4,1,128,29.846939723938704
1,65962,4,2,64,16.466727014631033
1,65962,4,2,128,29.870010912418365
1,65962,4,4,64,16.450311057269573
1,65962,4,4,128,29.85177095979452
1,65962,4,8,64,-1.0
1,65962,4,8,128,-1.0
1,65962,8,1,64,32.97006292268634
1,65962,8,1,128,59.1821800917387
1,65962,8,2,128,58.77550318837166
1,65962,8,8,128,58.97000012919307
1,65962,16,2,64,64.53327694907784
1,65962,16,4,64,64.69340110197663
1,65962,16,8,64,64.62376983836293
1,65962,32,1,64,127.65219062566757
1,65962,32,4,64,127.58054630830884
1,65962,32,8,128,229.6779858879745
1,65962,64,2,128,449.07939014956355
1,65962,128,1,64,502.5919321924448
1,65962,128,4,64,503.92421893775463
1,65962,128,8,64,503.43024684116244
1,67276,8,2,64,33.832760993391275
1,67276,8,2,128,60.83798594772816
1,67276,8,8,128,60.941407922655344
1,67276,16,2,64,66.8606162071228
1,67276,16,4,64,66.66615698486567
1,67276,16,8,64,66.36162102222443
1,67276,32,1,64,132.69226578995585
1,67276,32,4,64,132.81687023118138
1,67276,32,8,128,238.6661651544273
1,67276,64,2,128,464.87769205123186
1,67276,128,1,64,522.0509930513799
1,67276,128,4,64,522.1084640361369
1,67276,128,8,64,522.3685852251947
1,76000,8,2,64,42.828040197491646
1,76000,8,2,128,76.83451659977436
1,76000,8,8,128,77.17060437425971
1,76000,16,2,64,84.89609975367785
1,76000,16,4,64,84.78282298892736
1,76000,16,8,64,84.68327298760414
1,76000,32,1,128,298.70476201176643
1,76000,32,8,128,300.877186935395
1,76000,64,2,128,592.5774583593011
1,76000,128,1,64,666.0393760539591
1,76000,128,4,64,665.8021649345756
1,76000,128,8,64,666.4765672758222
1,78568,8,2,64,45.88096681982279
1,78568,8,4,64,46.0682581178844
1,78568,8,8,64,45.97910912707448
1,78568,16,1,64,90.48369387164712
1,78568,16,2,128,163.1016400642693
1,78568,16,8,128,161.380915902555
1,78568,32,2,128,319.36588790267706
1,78568,64,1,64,356.51763901114464
1,78568,64,4,64,356.2812930904329
1,78568,64,8,64,355.6303330697119
1,78568,128,1,128,1257.674943190068
1,78568,128,8,64,711.6506160236895
1,79983,8,2,64,47.35216358676553
1,79983,8,4,64,47.41590656340122
1,79983,8,8,64,47.5573749281466
1,79983,16,1,64,93.61757198348641
1,79983,16,2,128,168.06657798588276
1,79983,16,8,128,169.20578107237816
1,79983,32,2,64,186.4276761189103
1,79983,32,4,128,329.89897299557924
1,79983,64,2,64,369.75655565038323
1,79983,64,4,128,654.355620034039
1,79983,128,2,64,738.9919399283826
1,79983,128,4,128,1302.441420033574
1,83747,8,4,128,93.38976303115487
1,83747,16,1,128,185.86844624951482
1,83747,16,4,128,185.8534379862249
1,83747,32,1,128,361.17354687303305
1,83747,32,8,64,204.75784922018647
1,83747,64,1,128,720.7187511958182
1,83747,64,8,64,406.82317689061165
1,83747,128,1,128,1441.1494443193078
1,83747,128,8,128,1443.237914238125
1,83768,32,2,128,360.6054042465985
1,83768,64,1,64,405.0552430562675
1,83768,64,4,64,404.40479572862387
1,83768,64,8,128,718.8204359263182
1,83768,128,2,128,1433.126674965024
1,87835,2,1,64,15.006047673523426
1,87835,2,1,128,27.150762267410755
1,87835,2,2,64,14.961184933781624
1,87835,2,2,128,26.748596224933863
1,87835,2,4,64,-1.0
1,87835,2,4,128,-1.0
1,87835,2,8,64,-1.0
1,87835,2,8,128,-1.0
1,87835,4,1,64,28.93954887986183
1,87835,4,1,128,51.76408588886261
1,87835,4,2,64,28.887934051454067
1,87835,4,2,128,51.74789438024163
1,87835,4,4,64,28.855999000370502
1,87835,4,4,128,51.67759116739035
1,87835,4,8,64,-1.0
1,87835,4,8,128,-1.0
1,87835,8,1,64,57.31971887871623
1,87835,8,1,128,101.53209324926138
1,87835,8,2,128,102.16634999960661
1,87835,8,8,128,101.77717497572303
1,87835,16,2,64,113.33255982026458
1,87835,16,4,64,113.31345699727535
1,87835,16,8,64,113.78669179975986
1,87835,32,1,64,224.93628598749638
1,87835,32,4,64,224.75430695340037
1,87835,32,8,128,398.9157332107425
1,87835,64,2,128,791.9739857316017
1,87835,128,1,64,891.4887807331979
1,87835,128,4,64,892.1143659390509
1,87835,128,8,64,892.0235210098326
1,93030,8,2,64,64.41175984218717
1,93030,8,4,64,64.35870612040162
1,93030,8,8,64,64.2428370192647
1,93030,16,1,64,127.00948724523187
1,93030,16,2,128,224.35013391077518
1,93030,16,8,128,225.03440454602242
1,93030,32,2,64,250.75899995863438
1,93030,32,4,128,443.1634992361069
1,93030,64,2,64,500.21369103342295
1,93030,64,4,128,888.7001858092844
1,93030,128,2,64,997.9914329014719
1,93030,128,4,128,1774.3108659051359
1,93233,8,8,128,114.94464799761772
1,93233,16,2,64,127.37095402553678
1,93233,16,4,64,127.32033198699355
1,93233,16,8,64,127.39661708474159
1,93233,32,1,64,252.57722986862063
1,93233,32,4,64,252.19199201092124
1,93233,32,8,128,447.46479811146855
1,93233,64,2,128,889.9725996889174
1,93233,128,1,64,1003.9544249884784
1,93233,128,4,64,1003.0566938221455
1,93233,128,8,64,1005.1776641048491
1,94976,8,2,64,66.78811507299542
1,94976,8,2,128,118.76137601211667
1,94976,8,8,128,119.96637005358934
1,94976,16,2,64,131.17405027151108
1,94976,16,4,64,131.15091435611248
1,94976,16,8,64,131.155074108392
