bs,seq,nh,nkv,hd,t_measured_ms
1,52118,64,2,128,279.17841589078307
1,52118,128,1,64,313.5934667661786
1,52118,128,4,64,312.095426954329
1,52118,128,8,64,312.79908772557974
1,57039,8,2,64,24.824042804539204
1,57039,8,2,128,43.77787373960018
1,57039,8,8,128,43.975339736789465
1,57039,16,2,64,48.30466397106648
1,57039,16,4,64,48.34091989323497
1,57039,16,8,64,48.232315108180046
1,57039,32,1,64,95.38145875558256
1,57039,32,4,64,95.27374897152184
1,57039,32,8,128,168.51709131151438
1,57039,64,2,128,334.64853512123227
1,57039,128,1,64,374.85709600150585
1,57039,128,4,64,374.3790579028428
1,57039,128,8,64,373.6474313773215
1,62003,8,2,64,28.961950913071632
1,62003,8,2,128,51.2453680858016
1,62003,8,8,128,51.04879708960652
1,62003,16,2,64,56.72659119591117
1,62003,16,4,64,56.70912005007267
1,62003,16,8,64,56.85321288183332
1,62003,32,1,64,112.6336227171123
1,62003,32,4,64,112.5767920166254
1,62003,32,8,128,198.6338049173355
1,62003,64,2,128,393.3214470744133
1,62003,128,1,64,444.2395619116724
1,62003,128,4,64,444.0764291211962
1,62003,128,8,128,785.087171010673
1,65536,32,2,64,126.10894767567515
1,65536,32,4,128,222.09403105080128
1,65536,64,2,64,248.34046512842176
1,65536,64,4,128,441.63090316578746
1,65536,128,2,64,493.8523601740599
1,65536,128,4,128,880.791945848614
1,65962,8,4,64,32.78030687943101
1,65962,8,8,64,32.630885019898415
1,65962,16,1,64,64.16848720982671
1,65962,16,2,128,113.59694600105286
1,65962,16,8,128,113.57377795502543
1,65962,32,2,64,127.12043011561036
1,65962,32,4,128,224.5719758793712
1,65962,64,2,64,250.8211089298129
1,65962,64,4,128,445.7346429117024
1,65962,128,2,64,499.4399817660451
1,65962,128,4,128,888.1424278952181
1,67276,8,4,128,59.59104327484965
1,67276,16,1,128,117.76093766093254
1,67276,16,4,128,118.14566375687718
1,67276,32,1,128,233.09451527893543
1,67276,32,8,64,132.006810978055
1,67276,64,1,128,461.4417403936386
1,67276,64,8,64,260.659652762115
1,67276,128,1,128,922.5246622227132
1,67276,128,8,128,923.4821731224656
1,76000,32,1,64,166.83634091168642
1,76000,32,4,64,167.61075891554356
1,76000,32,8,64,167.86192171275616
1,76000,64,1,128,589.4075226970017
1,76000,64,8,128,586.5188608877361
1,76000,128,2,128,1178.3742890693247
1,78568,2,1,64,12.175207957625387
1,78568,2,1,128,21.267103031277657
1,78568,2,2,64,12.048362754285336
1,78568,2,2,128,21.264735143631697
1,78568,2,4,64,-1.0
1,78568,2,4,128,-1.0
1,78568,2,8,64,-1.0
1,78568,2,8,128,-1.0
1,78568,4,1,64,23.466406855732203
1,78568,4,1,128,42.44351899251342
1,78568,4,2,64,23.385767824947838
1,78568,4,2,128,42.10484027862549
1,78568,4,4,64,23.454918060451742
1,78568,4,4,128,42.19955811277032
1,78568,4,8,64,-1.0
1,78568,4,8,128,-1.0
1,78568,8,1,64,46.32549872621894
1,78568,8,1,128,83.25162390246987
1,78568,8,2,128,83.00254307687283
1,78568,8,8,128,82.42687722668052
1,78568,16,2,64,91.34677611291409
1,78568,16,4,64,91.39250312000512
1,78568,16,8,64,91.72974294051528
1,78568,32,1,64,180.96617422997952
1,78568,32,4,64,180.4045238532126
1,78568,32,8,64,180.1874740049243
1,78568,64,1,128,634.063605684787
1,78568,64,8,128,634.9033010192215
1,78568,128,2,128,1262.870456557721
1,79983,2,1,64,12.37840298563242
1,79983,2,1,128,22.33558800071478
1,79983,2,2,64,12.40614615380764
1,79983,2,2,128,22.15392887592316
1,79983,2,4,64,-1.0
1,79983,2,4,128,-1.0
1,79983,2,8,64,-1.0
1,79983,2,8,128,-1.0
1,79983,4,1,64,24.1157659329474
1,79983,4,1,128,43.48928667604923
1,79983,4,2,64,24.098390713334084
1,79983,4,2,128,43.57488499954343
1,79983,4,4,64,24.16584501042962
1,79983,4,4,128,43.4454157948494
1,79983,4,8,64,-1.0
1,79983,4,8,128,-1.0
1,79983,8,1,64,48.062257934361696
1,79983,8,1,128,85.60110488906503
1,79983,8,2,128,84.22366809099913
1,79983,8,8,128,85.29349695891142
1,79983,16,2,64,94.59108207374813
1,79983,16,4,64,94.51025305315852
1,79983,16,8,64,94.90195522084832
1,79983,32,1,64,187.4070749618113
1,79983,32,4,64,187.7773366868496
1,79983,32,8,128,328.8009846583009
1,79983,64,2,128,656.9698262028396
1,79983,128,1,64,736.5396185778081
1,79983,128,4,64,738.5538718663156
1,79983,128,8,64,735.2493852376938
1,83747,8,2,64,52.58674593642354
1,83747,8,2,128,92.6935886964202
1,83747,8,8,128,93.40736269950868
1,83747,16,2,64,103.98325091227888
1,83747,16,4,64,104.18292600661516
1,83747,16,8,64,103.61097333952785
1,83747,32,1,64,204.9045329913497
1,83747,32,4,64,205.4757187142968
1,83747,32,8,128,361.6420459002256
1,83747,64,2,128,718.8862012699246
1,83747,128,1,64,809.5495942980051
1,83747,128,4,64,807.9322911798954
1,83747,128,8,64,808.5702271200716
1,83768,8,2,64,52.54588834941387
1,83768,8,4,64,52.28637484833598
1,83768,8,8,64,52.45235515758395
1,83768,16,1,64,103.2491368241608
1,83768,16,2,128,183.3570720627904
1,83768,16,8,128,184.4074768014252
1,83768,32,2,64,204.65678302571175
1,83768,32,4,128,359.90855703130364
1,83768,64,2,64,403.40434201061726
1,83768,64,4,128,717.6297148689628
1,83768,128,2,64,808.3525281399488
1,83768,128,4,128,1434.9374771118164
1,87835,8,4,128,103.31764817237854
1,87835,16,1,128,200.4866516217589
1,87835,16,4,128,200.30918577685952
1,87835,32,1,128,396.8739621341229
1,87835,32,8,64,225.15343269333243
1,87835,64,1,128,793.9702859148383
1,87835,64,8,128,791.1984217353165
1,87835,128,2,128,1583.4189248271286
1,93030,2,1,64,17.1928396448493
1,93030,2,1,128,30.94378486275673
1,93030,2,2,64,17.084907740354538
1,93030,2,2,128,30.85802588611841
1,93030,2,4,64,-1.0
1,93030,2,4,128,-1.0
1,93030,2,8,64,-1.0
1,93030,2,8,128,-1.0
1,93030,4,1,64,33.397257793694735
1,93030,4,1,128,58.59478982165456
1,93030,4,2,64,33.55517378076911
1,93030,4,2,128,59.53012593090534
1,93030,4,4,64,33.33431575447321
1,93030,4,4,128,60.450229793787
1,93030,4,8,64,-1.0
1,93030,4,8,128,-1.0
1,93030,8,1,64,65.3568240813911
1,93030,8,1,128,116.03636015206575
1,93030,8,2,128,114.93539623916148
1,93030,8,8,128,115.29254028573632
1,93030,16,2,64,127.79087480157614
1,93030,16,4,64,127.55497777834536
1,93030,16,8,64,127.48557096347211
1,93030,32,1,64,253.0111609958112
1,93030,32,4,64,252.7802651748061
1,93030,32,8,128,444.0317330881953
1,93030,64,2,128,886.2804719246924
1,93030,128,1,64,996.1391389369963
1,93030,128,4,64,996.4405610226096
1,93030,128,8,64,997.2777557559313
1,93233,8,2,128,117.18036700040102
1,93233,8,8,64,65.69390511140227
1,93233,16,1,64,128.8603558205068
1,93233,16,2,128,228.81873091682792
1,93233,16,8,128,230.9614941477776
1,93233,32,2,64,254.14794171229005
1,93233,32,4,128,448.8679617643356
1,93233,64,2,64,503.15927900373936
1,93233,64,4,128,894.9868399649858
1,93233,128,2,64,1003.787811845541
1,93233,128,4,128,1785.5029716156423
1,94976,8,8,64,67.9033501073718
1,94976,16,1,64,132.6813716441393
1,94976,16,2,128,239.21707505360249
1,94976,16,8,128,237.5630368478596
1,94976,32,2,128,468.7178540043533
1,94976,64,1,64,520.7375790923834
1,94976,64,4,64,520.9808051586151
1,94976,64,8,64,519.3591499701142
1,94976,128,1,128,1854.5449897646904
1,94976,128,8,64,1040.2248483151195
1,101250,8,2,64,76.94813935086131
1,101250,8,4,64,76.42687298357487
1,101250,8,8,64,76.5296220779419
1,101250,16,1,64,151.90128982067108
1,101250,16,2,128,268.5555792413652
1,101250,16,8,128,270.6007109954953
1,101250,32,2,128,529.7261322848499
1,101250,64,1,64,593.4585137292743
1,101250,64,4,64,594.1282929852605
1,101250,64,8,64,593.3675109408796
1,101250,128,1,128,2110.492871608585
1,101250,128,8,128,2109.668701421469
1,102318,32,2,128,540.0834777392447
1,102318,64,1,64,605.5000419728458
1,102318,64,4,64,606.306198053062
1,102318,64,8,64,605.811427347362
1,102318,128,1,128,2153.372697066516
1,102318,128,8,128,2149.7737681493163
1,104155,32,2,64,315.71830762550235
1,104155,32,4,128,559.1999730095267
1,104155,64,2,64,627.4944846518338
1,104155,64,4,128,1119.9750588275492
1,104155,128,2,64,1254.0941769257188
1,104155,128,4,128,2232.5758868828416
1,104990,8,8,128,147.30934100225568
1,104990,16,2,64,162.74241730570793
1,104990,16,4,64,163.07117696851492
1,104990,16,8,64,163.20211812853813
1,104990,32,1,64,321.544392965734
1,104990,32,4,64,320.8978809416294
1,104990,32,8,128,570.5917319282889
